Pokemon,Pokeball,HP%,Status,Noise,Catch_Rate,Weight,Type,Success_Rate,Avg_Capture_Probability,Std_Capture_Probability,Attempts
snorlax,pokeball,79,NONE,0.05,25,1014.1,"NORMAL, NONE",0.1,0.05,0.002,10
snorlax,pokeball,79,NONE,0.1,25,1014.1,"NORMAL, NONE",0.1,0.04,0.004,10
snorlax,pokeball,79,NONE,0.15,25,1014.1,"NORMAL, NONE",0.1,0.04,0.006,10
snorlax,pokeball,79,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.0,0.07,0.0,10
snorlax,pokeball,79,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.0,0.07,0.004,10
snorlax,pokeball,79,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.2,0.07,0.006,10
snorlax,pokeball,79,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.0,0.08,0.014,10
snorlax,pokeball,79,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.0,0.09,0.0,10
snorlax,pokeball,79,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.0,0.09,0.003,10
snorlax,pokeball,79,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.0,0.09,0.006,10
snorlax,pokeball,79,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.0,0.1,0.015,10
snorlax,pokeball,80,NONE,0.0,25,1014.1,"NORMAL, NONE",0.1,0.05,0.0,20
snorlax,pokeball,80,NONE,0.05,25,1014.1,"NORMAL, NONE",0.05,0.05,0.002,20
snorlax,pokeball,80,NONE,0.1,25,1014.1,"NORMAL, NONE",0.0,0.05,0.005,20
snorlax,pokeball,80,NONE,0.15,25,1014.1,"NORMAL, NONE",0.15,0.04,0.007,20
snorlax,pokeball,80,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.07,0.0,20
snorlax,pokeball,80,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.05,0.07,0.002,20
snorlax,pokeball,80,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.07,0.006,20
